subject,n_epochs,mdm_acc_mean,mdm_acc_std,ts_pca_lda_acc_mean,ts_pca_lda_acc_std
A01T,288,0.7603145795523292,0.04061742210902187,0.7154264972776769,0.046549512971829264
A02T,288,0.4724137931034482,0.02403635988458892,0.44446460980036295,0.06417820231342658
A03T,288,0.7326678765880217,0.040434007665894785,0.8436176648517846,0.07254030989880603
A04T,288,0.5067150635208713,0.036955819331927375,0.5170598911070781,0.03597130984501355
A05T,288,0.39570477918935265,0.023347406933395837,0.38203266787658796,0.03532939280042984
A06T,288,0.4479128856624319,0.0428931198930705,0.4653962492437992,0.022410996720747603
A07T,288,0.6913490623109497,0.08430222007226923,0.7430127041742287,0.04860157849055871
A08T,288,0.7566243194192378,0.051975100761265006,0.7949788263762855,0.024417040331282547
A09T,288,0.7294010889292195,0.05733661432065845,0.8229885057471265,0.039712062973409526
